Pytanie,Odpowiedź A,Odpowiedź B,Odpowiedź C,Odpowiedź D,Poprawna odpowiedź
Jak miał na imię główny bohater książki?,Huck,Ben,Sid,Tomek,D
Kim dla Tomka była ciotka Polly?,Matką,Babcią,Ciotką,Sąsiadką,C
Czym Tomek malował parkan?,Farba olejna,Kredki,Wapno,Atrament,C
Co zaoferował Tomek Jimowi za zastąpienie go przy malowaniu?,Cukierki,Szklana kulka,Książka,Moneta,B
Dlaczego Tomek musiał malować parkan?,Dla przyjemności,Za karę,Dla nagrody,Dla pieniędzy,B
Jak miała na imię ciotka Tomka?,Polly,Mary,Amy,Becky,A
Kogo Tomek uważał za swojego największego rywala?,Sida,Joe Harpera,Bena Rogersa,Jeffa Thatchera,A
Jaka była reakcja ciotki Polly po sprawdzeniu pracy Tomka przy parkanie?,Złość,Rozczarowanie,Podziw,Obojętność,C
Kogo Tomek zobaczył w ogrodzie Jeffa Thatchera i zakochał się od pierwszego wejrzenia?,Amy Lawrence,Mary,Becky Thatcher,Sally,C
Jaki przedmiot wymienił Tomek za możliwość malowania parkanu przez kolegów?,Nową książkę,Kawałek niebieskiego szkła,Srebrną monetę,Wędkę,B
Co Sid zdradził ciotce Polly na temat Tomka?,Że Tomek nie odrobił lekcji,Że Tomek był nad rzeką,Że Tomek zmienił nić na kołnierzyku,Że Tomek ukradł cukier,C
"Co robił Tomek, gdy miał uczyć się Biblii?",Spał,Rozmawiał z Sidem,Zajmował się innymi rzeczami,Głośno się modlił,C
Jak Tomek zdobył żółtą kartkę przed szkółką niedzielną?,Wygrał ją,Znalazł na ulicy,Dostał od ciotki,Wymienił za cukierek i haczyk do wędki,D
Jaka była reakcja ciotki Polly na stłuczoną cukierniczkę przez Sida?,Sid został ukarany,Tomek został ukarany,Nie było żadnej reakcji,Obaj zostali ukarani,B
"Czego Tomek używał, by zwrócić uwagę Becky Thatcher?",Nowego ubrania,Kwiatka,Zabawkowego żołnierzyka,Słomki,B
Jak zakończyła się walka między Tomkiem a obcym chłopcem?,Tomek przegrał,Tomek uciekł,Obcy chłopiec wygrał,Tomek wygrał,D
Jaką karę dostał Tomek za wagary?,Musiał malować parkan,Nie dostał kolacji,Nie mógł iść do kościoła,Musiał pracować w polu,A
"Co wymyślił Tomek, aby uniknąć malowania parkanu samemu?",Udawał chorego,Zatrudnił Sida,"Udał, że malowanie to świetna zabawa",Poprosił ciotkę Polly o pomoc,C
Jak Tomek zdobył stokrotkę od Becky?,Dostał ją bezpośrednio do ręki,Kupił ją,Podarowano mu ją przez parkan,Znalazł ją na ziemi,C
Co ciotka Polly uważała za swój największy obowiązek względem Tomka?,Zapewnić mu wykształcenie,Zmuszać do modlitwy,"Pilnować, żeby nie kradł cukru",Dawać mu klapsy za złe zachowanie,D
